Date,Time,X,Y   S,peed  Te,mperature,Diameter,EnergyA,EnergyB
12/6/2021,08:05.5,-17.07,32.75,160,3108,50,4947636.8,4807979.5
12/6/2021,08:05.5,-17.07,32.75,176,3023,29,1488859.7,1466074.4
12/6/2021,08:05.5,-17.07,32.75,211,3525,16,1038917.3,781398.8
12/6/2021,08:05.5,-17.07,32.75,346,2906,26,968446.6,969810.4
12/6/2021,08:05.6,-17.07,32.75,188,2781,30,926379.1,1068190.8
12/6/2021,08:05.6,-17.07,32.75,184,2720,26,723651.1,760360.4
12/6/2021,08:05.6,-17.07,32.75,69,3591,20,1659910.4,1341649.2
12/6/2021,08:05.6,-17.07,32.75,160,3155,13,372868.6,357311
12/6/2021,08:05.7,-17.07,32.75,227,3498,14,749032.3,601562.9
12/6/2021,08:05.7,-17.07,32.75,149,3106,25,1174064.3,1178047
12/6/2021,08:05.7,-17.07,32.75,201,3213,25,1422855.2,1343341.8
12/6/2021,08:05.8,-17.07,32.75,188,3204,44,4465036,4254793
12/6/2021,08:05.8,-17.07,32.75,180,3095,38,2752510.3,2683470.1
12/6/2021,08:05.8,-17.07,32.75,169,3232,24,1361370.5,1260411.5
12/6/2021,08:05.8,-17.07,32.75,55,3901,18,2096831.6,1442520.4
12/6/2021,08:05.8,-17.07,32.75,176,3100,26,1416596.9,1332881.6
12/6/2021,08:05.9,-17.07,32.75,160,3303,26,1793264.7,1626271.5
12/6/2021,08:06.0,-17.07,32.75,180,3438,20,1361825.2,1136692
12/6/2021,08:06.0,-17.07,32.75,173,3336,16,726390.3,647052.4
12/6/2021,08:06.1,-17.07,32.75,180,3239,23,1270680.1,1154321.3
12/6/2021,08:06.3,-17.07,32.75,176,3147,33,2402780.5,2212987.4
12/6/2021,08:06.5,-17.07,32.75,166,3464,20,1339829,1215146.8
12/6/2021,08:06.6,-17.07,32.75,180,3563,18,1228717.6,1033595.7
12/6/2021,08:06.8,-17.07,32.75,127,3112,55,5927868.2,5749387.4
12/6/2021,08:06.2,-17.07,32.75,184,2941,24,872507.2,915038.9
12/6/2021,08:06.2,-17.07,32.75,180,3697,13,774195.5,651850.3
12/6/2021,08:06.2,-17.07,32.75,206,3293,45,5437081.3,4894349.6
12/6/2021,08:06.2,-17.07,32.75,133,3452,19,1283180.2,1061654.9
12/6/2021,08:06.2,-17.07,32.75,157,3012,20,665847.6,658350.9
12/6/2021,08:06.2,-17.07,32.75,137,3084,29,1582318.8,1528711.8
12/6/2021,08:06.2,-17.07,32.75,176,3145,21,962170.2,901753.6
12/6/2021,08:06.2,-17.07,32.75,146,3398,20,1212515.5,1071626.3
12/6/2021,08:06.2,-17.07,32.75,65,3047,27,1326855.7,1331594.4
12/6/2021,08:06.3,-17.07,32.75,166,3217,43,4404043.2,3986304.5
12/6/2021,08:06.3,-17.07,32.75,163,3090,20,696526,727471.7
12/6/2021,08:06.3,-17.07,32.75,142,3201,42,3935750.9,3810482.7
12/6/2021,08:06.4,-17.07,32.75,169,3044,20,724719.3,715976.5
12/6/2021,08:06.4,-17.07,32.75,76,3315,25,1863757.8,1603815.4
12/6/2021,08:06.4,-17.07,32.75,184,3344,18,887022.1,794781
12/6/2021,08:06.4,-17.07,32.75,173,3293,22,1323697,1183497.9
12/6/2021,08:06.5,-17.07,32.75,163,3381,18,1054406,900924.7
12/6/2021,08:06.5,-17.07,32.75,180,3552,17,1140465.7,942421.6
12/6/2021,08:06.5,-17.07,32.75,144,3135,29,1669409.2,1626955.3
12/6/2021,08:06.5,-17.07,32.75,111,2865,31,1214778.5,1321673.3
12/6/2021,08:06.5,-17.07,32.75,192,3086,23,990360,997714.7
12/6/2021,08:06.5,-17.07,32.75,247,3042,39,2736019.3,2656896.4
12/6/2021,08:06.5,-17.07,32.75,163,3697,21,2078199.1,1630572.3
12/6/2021,08:06.5,-17.07,32.75,188,3090,22,922846.8,883103.7
12/6/2021,08:06.5,-17.07,32.75,166,3058,18,557131,566830.8
12/6/2021,08:06.6,-17.07,32.75,157,3447,25,2035732.6,1770173.3
12/6/2021,08:06.6,-17.07,32.75,118,3212,27,1575772.4,1539386.5
12/6/2021,08:06.6,-17.07,32.75,169,3435,15,751862.8,643382.4
12/6/2021,08:06.6,-17.07,32.75,332,3356,27,2107863.5,1910283.4
12/6/2021,08:06.6,-17.07,32.75,211,2846,35,1538449.7,1596234.1
12/6/2021,08:06.7,-17.07,32.75,169,3293,29,2232970.1,2027614.4
12/6/2021,08:06.7,-17.07,32.75,154,3072,31,1873260.1,1796767.4
12/6/2021,08:06.7,-17.07,32.75,184,3232,29,2019276.3,1830332.6
12/6/2021,08:06.7,-17.07,32.75,160,3285,15,607961.3,519400
12/6/2021,08:06.8,-17.07,32.75,144,3240,21,1071268.3,986018
12/6/2021,08:06.8,-17.07,32.75,86,3607,23,1947388.2,1712214.8
